condition,dataset_source,hours_after_sunset,bat_landing_to_food,seconds_after_rat_arrival,metric_type,bat_landing_number,food_availability
rat_present,individual_events,6.81,10.0,65.0,individual_behavior,,
control,individual_events,6.815277778,1.0,84.0,individual_behavior,,
control,individual_events,6.825833333,1.0,122.0,individual_behavior,,
control,individual_events,6.831111111,0.014004332,141.0,individual_behavior,,
rat_present,individual_events,6.8375,7.0,164.0,individual_behavior,,
control,individual_events,6.851944444,7.0,216.0,individual_behavior,,
rat_present,individual_events,7.604166667,3.0,210.0,individual_behavior,,
rat_present,individual_events,7.611111111,6.0,235.0,individual_behavior,,
control,individual_events,7.614722222,1.0,248.0,individual_behavior,,
control,individual_events,7.620555556,4.0,269.0,individual_behavior,,
control,individual_events,7.63,5.0,303.0,individual_behavior,,
control,individual_events,7.65,26.0,375.0,individual_behavior,,
control,individual_events,8.251666667,4.0,180.0,individual_behavior,,
control,individual_events,8.331388889,4.0,467.0,individual_behavior,,
control,individual_events,8.343888889,10.0,512.0,individual_behavior,,
rat_present,individual_events,8.346388889,10.0,521.0,individual_behavior,,
control,individual_events,8.353611111,2.0,547.0,individual_behavior,,
control,individual_events,8.360833333,1.0,573.0,individual_behavior,,
control,individual_events,8.365833333,3.0,591.0,individual_behavior,,
control,individual_events,8.374166667,3.0,621.0,individual_behavior,,
rat_present,individual_events,8.383611111,73.0,655.0,individual_behavior,,
control,individual_events,8.756111111,3.0,330.0,individual_behavior,,
control,individual_events,8.799722222,0.068554286,487.0,individual_behavior,,
control,individual_events,8.809444444,3.0,522.0,individual_behavior,,
rat_present,individual_events,0.276944444,4.0,24.0,individual_behavior,,
control,individual_events,0.736388889,1.0,17.0,individual_behavior,,
rat_present,individual_events,0.761666667,20.0,108.0,individual_behavior,,
rat_present,individual_events,0.767777778,9.0,130.0,individual_behavior,,
rat_present,individual_events,0.863333333,54.0,474.0,individual_behavior,,
control,individual_events,3.726666667,1.0,7.0,individual_behavior,,
control,individual_events,3.730833333,25.0,22.0,individual_behavior,,
rat_present,individual_events,3.749166667,14.0,88.0,individual_behavior,,
rat_present,individual_events,3.751666667,8.0,97.0,individual_behavior,,
control,individual_events,3.753055556,6.0,102.0,individual_behavior,,
rat_present,individual_events,4.640833333,26.0,112.0,individual_behavior,,
control,individual_events,4.644722222,6.0,126.0,individual_behavior,,
rat_present,individual_events,4.664166667,24.0,196.0,individual_behavior,,
control,individual_events,4.681388889,1.0,258.0,individual_behavior,,
control,individual_events,4.689444444,19.0,287.0,individual_behavior,,
control,individual_events,6.1875,3.0,0.0,individual_behavior,,
control,individual_events,6.191388889,6.0,14.0,individual_behavior,,
control,individual_events,6.200833333,1.0,48.0,individual_behavior,,
rat_present,individual_events,6.583333333,7.0,28.0,individual_behavior,,
control,individual_events,6.591944444,1.0,59.0,individual_behavior,,
rat_present,individual_events,6.605833333,16.0,109.0,individual_behavior,,
control,individual_events,6.989722222,11.0,23.0,individual_behavior,,
control,individual_events,7.0225,18.0,141.0,individual_behavior,,
control,individual_events,7.036388889,2.0,191.0,individual_behavior,,
control,individual_events,8.379722222,2.0,309.0,individual_behavior,,
control,individual_events,8.427777778,1.0,482.0,individual_behavior,,
control,individual_events,8.433055556,7.0,501.0,individual_behavior,,
control,individual_events,8.476944444,6.0,659.0,individual_behavior,,
control,individual_events,8.490277778,5.0,707.0,individual_behavior,,
control,individual_events,8.494444444,2.0,722.0,individual_behavior,,
rat_present,individual_events,8.497777778,23.0,734.0,individual_behavior,,
rat_present,individual_events,8.5075,13.0,769.0,individual_behavior,,
rat_present,individual_events,8.478888889,71.0,666.0,individual_behavior,,
control,individual_events,10.23305556,2.0,372.0,individual_behavior,,
control,individual_events,10.14944444,1.0,263.0,individual_behavior,,
control,individual_events,-0.169166667,0.025345863,2.0,individual_behavior,,
control,individual_events,-0.148611111,0.096196,76.0,individual_behavior,,
control,individual_events,-0.144444444,0.063701466,91.0,individual_behavior,,
